CUDA_VISIBLE_DEVICES=0 python breakout.py -r 25 -o Ostap
Using TensorFlow backend.
2018-10-24 22:30:11.788911: I tensorflow/core/platform/cpu_feature_guard.cc:141] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX2 FMA
2018-10-24 22:30:11.859568: I tensorflow/stream_executor/cuda/cuda_gpu_executor.cc:964] successful NUMA node read from SysFS had negative value (-1), but there must be at least one NUMA node, so returning NUMA node zero
2018-10-24 22:30:11.860009: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1411] Found device 0 with properties: 
name: GeForce GTX 980 major: 5 minor: 2 memoryClockRate(GHz): 1.2785
pciBusID: 0000:01:00.0
totalMemory: 3.94GiB freeMemory: 3.26GiB
2018-10-24 22:30:11.860043: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1490] Adding visible gpu devices: 0
2018-10-24 22:30:12.091320: I tensorflow/core/common_runtime/gpu/gpu_device.cc:971] Device interconnect StreamExecutor with strength 1 edge matrix:
2018-10-24 22:30:12.091363: I tensorflow/core/common_runtime/gpu/gpu_device.cc:977]      0 
2018-10-24 22:30:12.091372: I tensorflow/core/common_runtime/gpu/gpu_device.cc:990] 0:   N 
2018-10-24 22:30:12.091512: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1103] Created TensorFlow device (/job:localhost/replica:0/task:0/device:GPU:0 with 2978 MB memory) -> physical GPU (device: 0, name: GeForce GTX 980, pci bus id: 0000:01:00.0, compute capability: 5.2)
Episode: 297/4000000, score: 0.0, epsilon:1.0
Episode: 298/4000000, score: 0.0, epsilon:1.0
Episode: 299/4000000, score: 0.0, epsilon:1.0
Episode: 300/4000000, score: 0.0, epsilon:1.0
Episode: 301/4000000, score: 0.0, epsilon:1.0
Episode: 302/4000000, score: 0.0, epsilon:1.0
Episode: 303/4000000, score: 1.0, epsilon:1.0
Episode: 304/4000000, score: 3.0, epsilon:1.0
Episode: 305/4000000, score: 2.0, epsilon:1.0
Episode: 306/4000000, score: 0.0, epsilon:1.0
Episode: 307/4000000, score: 7.0, epsilon:1.0
Episode: 308/4000000, score: 3.0, epsilon:1.0
Episode: 309/4000000, score: 2.0, epsilon:1.0
Episode: 310/4000000, score: 1.0, epsilon:1.0
Episode: 311/4000000, score: 0.0, epsilon:1.0
Episode: 312/4000000, score: 0.0, epsilon:1.0
Episode: 313/4000000, score: 3.0, epsilon:1.0
Episode: 314/4000000, score: 2.0, epsilon:1.0
Episode: 315/4000000, score: 0.0, epsilon:1.0
Episode: 316/4000000, score: 0.0, epsilon:1.0
Episode: 317/4000000, score: 0.0, epsilon:1.0
Episode: 318/4000000, score: 0.0, epsilon:1.0
Episode: 319/4000000, score: 3.0, epsilon:1.0
Episode: 320/4000000, score: 0.0, epsilon:1.0
Episode: 321/4000000, score: 2.0, epsilon:1.0
Episode: 322/4000000, score: 2.0, epsilon:1.0
Episode: 323/4000000, score: 0.0, epsilon:1.0
Episode: 324/4000000, score: 1.0, epsilon:1.0
Episode: 325/4000000, score: 4.0, epsilon:1.0
Episode: 326/4000000, score: 1.0, epsilon:1.0
Episode: 327/4000000, score: 5.0, epsilon:1.0
Episode: 328/4000000, score: 1.0, epsilon:1.0
Episode: 329/4000000, score: 1.0, epsilon:1.0
Episode: 330/4000000, score: 1.0, epsilon:1.0
Episode: 331/4000000, score: 0.0, epsilon:1.0
Episode: 332/4000000, score: 1.0, epsilon:1.0
Episode: 333/4000000, score: 2.0, epsilon:1.0
Episode: 334/4000000, score: 2.0, epsilon:1.0
Episode: 335/4000000, score: 1.0, epsilon:1.0
Episode: 336/4000000, score: 2.0, epsilon:1.0
Episode: 337/4000000, score: 0.0, epsilon:1.0
Episode: 338/4000000, score: 1.0, epsilon:1.0
Episode: 339/4000000, score: 6.0, epsilon:1.0
Episode: 340/4000000, score: 0.0, epsilon:1.0
Episode: 341/4000000, score: 0.0, epsilon:1.0
Episode: 342/4000000, score: 1.0, epsilon:1.0
Episode: 343/4000000, score: 1.0, epsilon:1.0
Episode: 344/4000000, score: 3.0, epsilon:1.0
Episode: 345/4000000, score: 0.0, epsilon:1.0
Episode: 346/4000000, score: 0.0, epsilon:1.0
Episode: 347/4000000, score: 0.0, epsilon:1.0
Episode: 348/4000000, score: 2.0, epsilon:1.0
Episode: 349/4000000, score: 3.0, epsilon:1.0
Episode: 350/4000000, score: 3.0, epsilon:1.0
Episode: 351/4000000, score: 0.0, epsilon:1.0
Episode: 352/4000000, score: 2.0, epsilon:1.0
Episode: 353/4000000, score: 1.0, epsilon:1.0
Episode: 354/4000000, score: 0.0, epsilon:1.0
Episode: 355/4000000, score: 1.0, epsilon:1.0
Episode: 356/4000000, score: 2.0, epsilon:1.0
Episode: 357/4000000, score: 3.0, epsilon:1.0
Episode: 358/4000000, score: 4.0, epsilon:1.0
Episode: 359/4000000, score: 1.0, epsilon:1.0
Episode: 360/4000000, score: 1.0, epsilon:1.0
Episode: 361/4000000, score: 4.0, epsilon:1.0
Episode: 362/4000000, score: 0.0, epsilon:1.0
Episode: 363/4000000, score: 1.0, epsilon:1.0
Episode: 364/4000000, score: 2.0, epsilon:1.0
Episode: 365/4000000, score: 0.0, epsilon:1.0
Episode: 366/4000000, score: 2.0, epsilon:1.0
Episode: 367/4000000, score: 2.0, epsilon:1.0
Episode: 368/4000000, score: 2.0, epsilon:1.0
Episode: 369/4000000, score: 1.0, epsilon:1.0
Episode: 370/4000000, score: 1.0, epsilon:1.0
